Date,Open,High,Low,Close,Adj Close,Volume
2023-06-19,21.480000,21.510000,21.260000,21.320000,21.320000,666288
2023-06-20,21.450001,21.480000,21.240000,21.370001,21.370001,576400
2023-06-21,21.440001,21.459999,19.700001,19.900000,19.900000,3121646
2023-06-22,20.059999,20.059999,19.120001,19.170000,19.170000,2818669
2023-06-23,19.350000,19.410000,18.700001,18.809999,18.809999,1432637
2023-06-26,18.650000,18.799999,18.469999,18.570000,18.570000,1086392
2023-06-27,18.730000,18.760000,18.320000,18.450001,18.450001,1001993
2023-06-28,18.820000,19.110001,18.719999,19.030001,19.030001,1112660
2023-06-29,19.110001,19.190001,18.780001,18.809999,18.809999,648161
2023-06-30,18.750000,19.059999,18.750000,19.049999,19.049999,678747
2023-07-03,19.100000,19.200001,18.840000,19.080000,19.080000,736772
2023-07-04,18.950001,19.209999,18.889999,19.150000,19.150000,442380
2023-07-05,19.120001,19.309999,19.040001,19.180000,19.180000,517644
2023-07-06,18.940001,19.240000,18.860001,19.219999,19.219999,687094
2023-07-07,18.820000,18.990000,18.670000,18.690001,18.690001,715127
2023-07-10,18.809999,18.879999,18.610001,18.770000,18.770000,645502
2023-07-11,19.080000,19.290001,18.900000,19.290001,19.290001,784160
2023-07-12,19.290001,19.570000,19.260000,19.340000,19.340000,950696
2023-07-13,19.549999,19.834999,19.360001,19.799999,19.799999,946132
2023-07-14,19.799999,20.049999,19.660000,20.040001,20.040001,615478
2023-07-17,19.900000,20.209999,19.750000,20.160000,20.160000,558215
2023-07-18,20.150000,20.430000,20.059999,20.299999,20.299999,639248
2023-07-19,20.430000,20.900000,20.400000,20.809999,20.809999,1075282
2023-07-20,21.250000,21.879999,21.250000,21.650000,21.650000,3079211
2023-07-21,21.670000,22.400000,21.450001,22.139999,22.139999,2730755
2023-07-24,22.330000,22.680000,22.260000,22.389999,22.389999,2089452
2023-07-25,22.299999,22.570000,22.235001,22.389999,22.389999,2045491
2023-07-26,22.340000,22.795000,22.059999,22.660000,22.660000,1442413
2023-07-27,22.809999,23.379999,22.690001,23.360001,23.360001,1954673
2023-07-28,23.250000,23.250000,22.900000,23.209999,23.209999,1234243
2023-07-31,23.400000,23.500000,23.250000,23.370001,23.370001,1100189
2023-08-01,23.400000,23.400000,22.840000,23.120001,23.120001,970407
2023-08-02,23.030001,23.139999,22.730000,22.879999,22.879999,757751
2023-08-03,22.660000,22.809999,22.510000,22.580000,22.580000,1167298
2023-08-04,22.360001,22.410000,21.825001,22.180000,22.180000,2172242
2023-08-07,22.299999,22.525000,22.240000,22.430000,22.430000,558736
2023-08-08,22.549999,22.635000,22.209999,22.570000,22.570000,863588
2023-08-09,22.379999,22.620001,22.270000,22.570000,22.570000,784562
2023-08-10,22.600000,22.600000,22.350000,22.440001,22.440001,700489
2023-08-11,22.350000,22.600000,22.290001,22.490000,22.490000,398858
2023-08-14,22.450001,22.590000,22.160000,22.559999,22.559999,572506
2023-08-15,22.559999,22.559999,22.230000,22.480000,22.480000,378509
2023-08-16,22.230000,22.290001,21.910000,22.290001,22.290001,587357
2023-08-17,22.270000,22.379999,22.000000,22.360001,22.360001,553447
2023-08-18,22.100000,22.139999,21.799999,22.080000,22.080000,978886
2023-08-21,21.969999,22.180000,21.889999,21.940001,21.940001,574478
2023-08-22,21.870001,22.309999,21.870001,22.170000,22.170000,683914
2023-08-23,22.059999,22.330000,21.870001,21.980000,21.980000,753201
2023-08-24,22.330000,22.450001,21.920000,22.139999,22.139999,746478
2023-08-25,21.799999,21.920000,21.440001,21.719999,21.719999,1064670
2023-08-28,21.920000,22.469999,21.850000,22.180000,22.180000,1016856
2023-08-29,22.250000,22.270000,21.860001,22.080000,22.080000,712414
2023-08-30,22.469999,22.469999,21.020000,21.459999,21.459999,2262032
2023-08-31,21.770000,21.950001,21.020000,21.120001,21.120001,1511501
2023-09-01,21.000000,21.469999,20.950001,21.209999,21.209999,1204892
2023-09-04,21.200001,21.200001,20.350000,20.570000,20.570000,1523098
2023-09-05,20.490000,20.635000,20.360001,20.480000,20.480000,1003822
2023-09-06,20.219999,20.270000,19.940001,19.959999,19.959999,1612719
2023-09-07,19.850000,19.910000,19.590000,19.730000,19.730000,2082496
2023-09-08,19.799999,19.980000,19.510000,19.700001,19.700001,687108
2023-09-11,19.620001,19.860001,19.520000,19.860001,19.860001,789634
2023-09-12,19.820000,19.930000,19.639999,19.930000,19.930000,995265
2023-09-13,19.830000,20.040001,19.510000,19.670000,19.670000,1112841
2023-09-14,19.459999,19.830000,19.219999,19.820000,19.820000,861067
2023-09-15,20.100000,20.420000,20.000000,20.139999,20.139999,2317132
2023-09-18,20.000000,20.245001,19.870001,19.950001,19.950001,602523
2023-09-19,19.879999,20.100000,19.799999,19.940001,19.940001,639843
