Date,Open,High,Low,Close,Adj Close,Volume
2023-06-19,99.660004,100.820000,99.449997,100.510002,98.179565,2771173
2023-06-20,100.800003,101.970001,100.360001,101.620003,99.263824,2698905
2023-06-21,102.199997,102.489998,101.584999,101.680000,99.322433,2594424
2023-06-22,101.510002,101.589996,99.970001,100.080002,97.759529,2313609
2023-06-23,99.599998,99.800003,98.000000,98.510002,96.225937,2750925
2023-06-26,98.379997,98.500000,97.489998,97.930000,95.659378,2559460
2023-06-27,98.550003,99.269997,98.430000,98.430000,96.147789,2139922
2023-06-28,98.699997,99.940002,98.629997,99.540001,97.232048,2391541
2023-06-29,99.900002,100.690002,99.800003,100.070000,97.749763,1593529
2023-06-30,100.160004,100.300003,99.555000,100.269997,97.945122,2603014
2023-07-03,100.300003,100.970001,99.779999,100.940002,98.599594,2147940
2023-07-04,101.050003,102.400002,100.419998,102.279999,99.908516,2188463
2023-07-05,102.110001,102.389999,101.400002,101.779999,99.420113,2156097
2023-07-06,101.059998,101.459999,100.129997,100.430000,98.101418,2182248
2023-07-07,99.230003,99.419998,98.410004,98.730003,96.440834,2017705
2023-07-10,99.139999,99.470001,98.320000,98.519997,96.235695,1152141
2023-07-11,98.970001,99.620003,98.730003,99.620003,97.310196,1793004
2023-07-12,100.010002,100.150002,99.150002,99.150002,96.851097,1765254
2023-07-13,100.139999,100.855003,99.709999,100.620003,98.287010,3171603
2023-07-14,100.879997,101.589996,100.589996,101.330002,98.980553,2083622
2023-07-17,101.449997,101.910004,101.199997,101.870003,99.508026,1608226
2023-07-18,102.300003,103.099998,102.110001,102.570000,100.191795,2084918
2023-07-19,103.839996,104.650002,103.239998,104.650002,102.223572,3567951
2023-07-20,105.500000,106.230003,104.699997,105.250000,102.809654,3465003
2023-07-21,104.849998,105.070000,104.169998,104.550003,102.125893,3354092
2023-07-24,105.300003,105.300003,104.330002,104.430000,102.008675,1554919
2023-07-25,104.400002,104.400002,103.510002,104.199997,101.784004,1520910
2023-07-26,103.930000,105.769997,103.669998,105.000000,102.565453,1631244
2023-07-27,105.400002,107.089996,105.300003,106.529999,104.059982,2544987
2023-07-28,105.510002,106.089996,104.820000,105.500000,103.053864,1880770
2023-07-31,105.760002,105.980003,104.930000,105.709999,103.258995,1265049
2023-08-01,105.220001,106.199997,104.839996,105.849998,103.395744,1440788
2023-08-02,105.230003,105.349998,103.089996,103.459999,101.061157,2074443
2023-08-03,102.959999,103.339996,102.059998,102.459999,100.084343,2890772
2023-08-04,102.699997,103.150002,101.699997,101.870003,99.508026,2687798
2023-08-07,102.089996,102.220001,101.489998,101.849998,99.488487,2771020
2023-08-08,102.400002,102.580002,101.930000,102.209999,99.840141,3241229
2023-08-09,104.809998,105.220001,103.550003,104.849998,102.418930,2635786
2023-08-10,103.820000,104.690002,103.120003,104.470001,102.047745,2461857
2023-08-11,104.309998,105.000000,104.019997,104.400002,101.979370,1734661
2023-08-14,103.629997,104.129997,103.410004,103.699997,101.295593,2624230
2023-08-15,104.000000,104.190002,103.349998,103.510002,101.110001,1631886
2023-08-16,100.019997,100.480003,99.480003,99.790001,99.790001,4423573
2023-08-17,99.900002,99.900002,98.669998,99.650002,99.650002,3049916
2023-08-18,99.209999,99.459999,98.550003,99.050003,99.050003,2430138
2023-08-21,98.919998,99.580002,98.320000,98.449997,98.449997,2651338
2023-08-22,98.089996,98.669998,97.690002,98.669998,98.669998,3070402
2023-08-23,98.199997,99.839996,98.000000,99.449997,99.449997,3375196
2023-08-24,100.099998,100.839996,99.599998,100.610001,100.610001,2630712
2023-08-25,100.239998,100.269997,99.370003,99.570000,99.570000,2301999
2023-08-28,99.800003,100.809998,99.739998,100.779999,100.779999,1652565
2023-08-29,101.389999,101.449997,100.480003,101.029999,101.029999,1519428
2023-08-30,101.629997,102.464996,101.500000,101.839996,101.839996,1810483
2023-08-31,101.830002,102.449997,101.610001,102.180000,102.180000,3576801
2023-09-01,101.699997,102.000000,101.199997,101.349998,101.349998,1596631
2023-09-04,101.690002,102.269997,101.570000,102.010002,102.010002,1425483
2023-09-05,102.099998,102.290001,101.750000,102.220001,102.220001,1274211
2023-09-06,102.750000,103.180000,101.294998,101.510002,101.510002,2000414
2023-09-07,101.000000,101.379997,100.309998,100.900002,100.900002,1721897
2023-09-08,101.230003,101.470001,100.150002,100.809998,100.809998,1271405
2023-09-11,100.800003,102.180000,100.550003,102.040001,102.040001,1707461
2023-09-12,102.400002,102.589996,101.120003,102.110001,102.110001,1303827
2023-09-13,102.150002,102.150002,101.010002,101.699997,101.699997,1281734
2023-09-14,101.169998,102.459999,101.150002,102.129997,102.129997,2242700
2023-09-15,103.000000,103.570000,102.680000,103.160004,103.160004,4199986
2023-09-18,102.599998,102.800003,101.930000,102.629997,102.629997,886664
2023-09-19,102.320000,102.389999,101.440002,102.129997,102.129997,1800379
